company_id,type,rule_id,text,confidence_pct
ABB,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.8
ABB,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ABB,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,68.0
ABB,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.5
ABB,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,79.5
ABB,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ABB,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,90.0
ADANIENSOL,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.6
ADANIENSOL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,86.9
ADANIENSOL,con,1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,81.3
ADANIENSOL,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIENT,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.4
ADANIENT,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIENT,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.5
ADANIENT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIENT,con,5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,73.5
ADANIENT,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIGREEN,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,con,1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIPORTS,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.7
ADANIPORTS,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,77.3
ADANIPORTS,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,90.0
ADANIPORTS,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,68.0
ADANIPOWER,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ADANIPOWER,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ADANIPOWER,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67.5
ADANIPOWER,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,91.1
ADANIPOWER,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIPOWER,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,90.0
AMBUJACEM,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
AMBUJACEM,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89.9
AMBUJACEM,con,12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,68.1
APOLLOHOSP,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
APOLLOHOSP,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,93.2
APOLLOHOSP,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,79.2
APOLLOHOSP,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.9
APOLLOHOSP,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ASIANPAINT,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79.2
ASIANPAINT,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ASIANPAINT,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,65.5
ASIANPAINT,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ASIANPAINT,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,69.9
ASIANPAINT,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.9
ASIANPAINT,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,90.7
ASIANPAINT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,90.4
ASIANPAINT,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65.7
ATGL,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.2
ATGL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.8
ATGL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,66.2
ATGL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87.3
ATGL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.8
AXISBANK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,87.6
AXISBANK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.4
AXISBANK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
AXISBANK,con,10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.9
AXISBANK,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BAJAJ-AUTO,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,71.1
BAJAJ-AUTO,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BAJAJ-AUTO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,83.6
BAJAJ-AUTO,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.3
BAJAJFINSV,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75.0
BAJAJFINSV,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.9
BAJAJFINSV,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,93.1
BAJAJFINSV,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.6
BAJAJFINSV,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.0
BAJAJFINSV,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.7
BAJAJFINSV,con,2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJAJFINSV,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,92.7
BAJAJFINSV,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BAJAJHLDNG,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90.0
BAJAJHLDNG,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
BAJAJHLDNG,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJAJHLDNG,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,81.0
BAJAJHLDNG,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.3
BAJAJHLDNG,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.8
BAJAJHLDNG,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,90.0
BAJFINANCE,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.8
BAJFINANCE,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.0
BAJFINANCE,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,81.3
BAJFINANCE,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94.3
BAJFINANCE,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,82.4
BAJFINANCE,con,2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJFINANCE,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,93.9
BAJFINANCE,con,10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84.7
BAJFINANCE,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BANKBARODA,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.8
BANKBARODA,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,94.1
BANKBARODA,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,89.9
BANKBARODA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
BANKBARODA,con,10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.1
BANKBARODA,con,11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BEL,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BEL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
BEL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.8
BHARTIARTL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BHARTIARTL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,97.1
BHARTIARTL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BHARTIARTL,con,1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,75.7
